tensor([25,  0,  0,  0,  0, 25,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,
         0,  0,  0,  0,  0,  0,  0,  0,  0,  0, 11,  1,  0, 14, 25,  3,  0,  3,
         0,  0,  3, 14,  0,  0,  0,  3,  0,  0,  3,  3,  3, 14,  0,  3,  3,  0,
         0,  4,  0,  0,  1,  0,  0,  0,  0,  0, 25,  0,  0,  0,  0, 25,  0,  0,
         0,  0,  3,  0,  0,  0,  0,  3,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,
         1,  0,  0, 12,  0, 12, 25, 12, 12,  0, 12,  0,  0,  0,  0,  0,  0, 12,
        12, 12,  3, 12, 12,  0, 12,  0, 12,  0,  0,  0,  0,  0,  0,  0,  0,  0,
         0,  0, 25,  0,  0, 25,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,
         0,  0,  0,  0,  0,  0,  0,  0,  1,  0,  0,  0,  0,  0,  0,  0, 25,  0,
         0, 25,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,
         0,  0, 11, 11,  1,  0,  4,  0,  3,  0,  3,  4, 25,  3,  4,  0,  0,  0,
         3,  0,  0,  3,  0,  0,  4,  0,  0,  3,  0,  0,  4,  0,  0,  0,  0,  0,
         0,  0,  0,  0,  0,  0,  0,  0, 25,  0,  0,  0,  0,  0,  0,  0,  0,  0,
         3,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0, 25,  0,  0,  0,
         0,  0,  0,  0, 25,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,
        11,  0,  0,  0,  0,  0, 11,  1,  0,  0,  0,  0,  0,  3,  0,  0,  0,  0,
        25,  0,  0,  3,  0,  0,  0,  0,  3,  0,  0,  0,  0,  0,  0,  0,  0,  0,
         0,  0,  0,  0,  4,  0,  0,  0,  0,  4,  0,  0,  4,  0, 25, 25,  3,  0,
         0,  0,  0,  3,  4,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  4,
         0,  0,  0,  3,  4,  0,  6,  4,  0,  9, 25,  3,  0,  0,  0,  0,  3,  4,
         4,  0,  0,  4,  0,  0,  0,  0,  0,  4,  0,  0,  0,  0,  0,  0,  0,  0,
         0,  0,  0,  0,  0,  0, 25,  0,  0,  0,  0, 25,  0,  0,  0,  0,  0,  0,
         0,  0,  0,  0,  0,  0,  0, 12, 12, 12,  0, 12, 11, 12, 12, 12,  0,  0,
